epoch,train_loss,train_dice,val_loss,val_dice,val_iou,lr
1,0.445853,0.434419,0.424381,0.485341,0.360879,9.89e-04
2,0.347806,0.532583,0.483031,0.461590,0.329669,9.57e-04
3,0.315275,0.574894,0.367938,0.584257,0.457820,9.05e-04
4,0.285497,0.616946,0.360654,0.580724,0.447441,8.36e-04
5,0.264082,0.646708,0.358875,0.581918,0.453416,7.52e-04
6,0.242156,0.677915,0.396169,0.522808,0.399105,6.58e-04
7,0.220317,0.708614,0.398742,0.571011,0.446322,5.57e-04
8,0.197758,0.739265,0.389087,0.570472,0.459933,4.53e-04
9,0.173690,0.772979,0.374205,0.590002,0.473361,3.52e-04
10,0.149695,0.805945,0.402995,0.527900,0.419071,2.58e-04
11,0.127581,0.835750,0.354193,0.609212,0.492749,1.74e-04
12,0.108914,0.860276,0.384584,0.580027,0.463404,1.05e-04
13,0.094232,0.880377,0.385794,0.582053,0.465853,5.28e-05
14,0.084550,0.892672,0.393421,0.572311,0.456811,2.08e-05
15,0.078058,0.901285,0.402037,0.566842,0.452183,1.00e-05
